#,formula,E_form(eV),software,DFT functional,ID (within database),structure_file_name
0,Cl1S1,0.88307563518376,VASP,PBE,307804,Cl1S1_oqmd307804.vasp
1,Cl1S1,0.84030781018376,VASP,PBE,339346,Cl1S1_oqmd339346.vasp
2,Cl1S1,-0.47363678856624,VASP,PBE,6827,Cl1S1_oqmd6827.vasp
3,Cl1S1,0.60804941018376,VASP,PBE,1106989,Cl1S1_oqmd1106989.vasp
4,Cl1S1,0.86436690518376,VASP,PBE,1219239,Cl1S1_oqmd1219239.vasp
5,Cl1S1,0.70025802518376,VASP,PBE,1228918,Cl1S1_oqmd1228918.vasp
6,Cl1S1,0.60970061518376,VASP,PBE,1234915,Cl1S1_oqmd1234915.vasp
7,Cl1S1,-0.4785371935662397,VASP,PBE,1953250,Cl1S1_oqmd1953250.vasp
8,Cl1S1,-0.4798053323162397,VASP,PBE,2169975,Cl1S1_oqmd2169975.vasp
9,Cl1S2,0.911483817118054,VASP,PBE,1241500,Cl1S2_oqmd1241500.vasp
10,Cl1S2,1.20157968211805,VASP,PBE,1416311,Cl1S2_oqmd1416311.vasp
11,Cl1S2,0.6148817371180542,VASP,PBE,1590262,Cl1S2_oqmd1590262.vasp
12,Cl1S27,-0.20107258621356244,VASP,PBE,2136536,Cl1S27_oqmd2136536.vasp
13,Cl1S3,0.353490335585201,VASP,PBE,302591,Cl1S3_oqmd302591.vasp
14,Cl1S3,0.819039660585201,VASP,PBE,313133,Cl1S3_oqmd313133.vasp
15,Cl1S3,0.362531885585201,VASP,PBE,325298,Cl1S3_oqmd325298.vasp
16,Cl1S3,0.957152793085201,VASP,PBE,349784,Cl1S3_oqmd349784.vasp
17,Cl1S8,-0.18113444863622005,VASP,PBE,2160070,Cl1S8_oqmd2160070.vasp
18,Cl12S1,-0.37712125934175617,VASP,PBE,2131988,Cl12S1_oqmd2131988.vasp
19,Cl13S2,-0.3760914634050209,VASP,PBE,1990395,Cl13S2_oqmd1990395.vasp
20,Cl2S1,-0.416263752583868,VASP,PBE,7000,Cl2S1_oqmd7000.vasp
21,Cl2S1,-0.196967856750534,VASP,PBE,1232404,Cl2S1_oqmd1232404.vasp
22,Cl2S1,-0.257961590083868,VASP,PBE,1241501,Cl2S1_oqmd1241501.vasp
23,Cl2S1,0.548375508249466,VASP,PBE,1416310,Cl2S1_oqmd1416310.vasp
24,Cl2S1,1.0773552882494657,VASP,PBE,1590339,Cl2S1_oqmd1590339.vasp
25,Cl2S3,0.532346239344337,VASP,PBE,426482,Cl2S3_oqmd426482.vasp
26,Cl2S3,-0.0846439566556633,VASP,PBE,1382439,Cl2S3_oqmd1382439.vasp
27,Cl3S1,0.271172329782319,VASP,PBE,304214,Cl3S1_oqmd304214.vasp
28,Cl3S1,0.629744469782319,VASP,PBE,314756,Cl3S1_oqmd314756.vasp
29,Cl3S1,0.170992879782319,VASP,PBE,323675,Cl3S1_oqmd323675.vasp
30,Cl3S1,0.692233309782319,VASP,PBE,348161,Cl3S1_oqmd348161.vasp
31,Cl30S1,-0.31527540330925957,VASP,PBE,2136684,Cl30S1_oqmd2136684.vasp
32,Cl4S1,-0.2768350732979698,VASP,PBE,1770168,Cl4S1_oqmd1770168.vasp
33,Cl6S1,-0.217194586818299,VASP,PBE,1344008,Cl6S1_oqmd1344008.vasp
34,Cl7S1,-0.3359385679184017,VASP,PBE,2160218,Cl7S1_oqmd2160218.vasp
